input,time
0,0
3000,281236
6000,641609
9000,1.06956e+06
12000,1.72401e+06
15000,2.08691e+06
18000,2.65258e+06
21000,3.17577e+06
24000,3.7094e+06
27000,4.28203e+06
30000,4.93063e+06
33000,5.57219e+06
36000,6.20316e+06
39000,6.88774e+06
42000,7.5646e+06
45000,8.27635e+06
48000,9.15694e+06
51000,9.63106e+06
54000,1.04635e+07
57000,1.11933e+07
60000,1.19875e+07
63000,1.32673e+07
66000,1.43077e+07
69000,1.46169e+07
72000,1.55607e+07
75000,1.60655e+07
78000,1.70833e+07
81000,1.78186e+07
84000,1.92679e+07
87000,2.11501e+07
90000,2.13389e+07
