input,time
0,0
3000,109752
6000,228246
9000,358297
12000,507562
15000,608657
18000,771620
21000,863067
24000,989499
27000,1.1525e+06
30000,1.2854e+06
33000,1.36796e+06
36000,1.5215e+06
39000,1.63527e+06
42000,1.76556e+06
45000,1.91226e+06
48000,2.14345e+06
51000,2.14528e+06
54000,2.31629e+06
57000,2.4894e+06
60000,2.60254e+06
63000,2.6599e+06
66000,2.82889e+06
69000,2.94255e+06
72000,3.32867e+06
75000,3.42077e+06
78000,3.3438e+06
81000,3.54359e+06
84000,4.13876e+06
87000,4.26453e+06
90000,4.15071e+06
